============================================================
v2_20k 評估與校正 Pipeline - 步驟一: 重度運算與校正推論
============================================================

>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
執行校正模式: BASELINE
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>

----------------------------------------
處理目標任務: Y1
----------------------------------------
      [BASELINE | TEST2 | Layer 3 | Y2 | LGB] Brier=0.1294 | Rel=0.0008 | Res=0.0488 | Unc=0.1774 | ECE=0.0194 | LogLoss=0.4729
      [BASELINE | TEST1 | Layer 3 | Y2 | LR] Brier=0.1337 | Rel=0.0000 | Res=0.0434 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4149
      [BASELINE | TEST2 | Layer 3 | Y2 | LR] Brier=0.1376 | Rel=0.0021 | Res=0.0419 | Unc=0.1774 | ECE=0.0260 | LogLoss=0.4591
      [BASELINE | TEST1 | Layer 3 | Y2 | RF] Brier=0.1306 | Rel=0.0000 | Res=0.0465 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4066
      [BASELINE | TEST2 | Layer 3 | Y2 | RF] Brier=0.1331 | Rel=0.0008 | Res=0.0451 | Unc=0.1774 | ECE=0.0155 | LogLoss=0.4122
      [BASELINE | TEST1 | Layer 4 | Y2 | SGD] Brier=0.1333 | Rel=0.0000 | Res=0.0438 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4145
      [BASELINE | TEST2 | Layer 4 | Y2 | SGD] Brier=0.1320 | Rel=0.0017 | Res=0.0471 | Unc=0.1774 | ECE=0.0276 | LogLoss=0.4292
      [BASELINE | TEST1 | Layer 4 | Y2 | MLP] Brier=0.1164 | Rel=0.0000 | Res=0.0607 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.3569
      [BASELINE | TEST2 | Layer 4 | Y2 | MLP] Brier=0.1148 | Rel=0.0037 | Res=0.0662 | Unc=0.1774 | ECE=0.0323 | LogLoss=0.4623
      [BASELINE | TEST1 | Layer 4 | Y2 | LGB] Brier=0.1265 | Rel=0.0000 | Res=0.0506 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.3864
      [BASELINE | TEST2 | Layer 4 | Y2 | LGB] Brier=0.1229 | Rel=0.0009 | Res=0.0554 | Unc=0.1774 | ECE=0.0189 | LogLoss=0.4093
      [BASELINE | TEST1 | Layer 4 | Y2 | LR] Brier=0.1336 | Rel=0.0000 | Res=0.0435 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4144
      [BASELINE | TEST2 | Layer 4 | Y2 | LR] Brier=0.1324 | Rel=0.0013 | Res=0.0463 | Unc=0.1774 | ECE=0.0189 | LogLoss=0.4284
      [BASELINE | TEST1 | Layer 4 | Y2 | RF] Brier=0.1357 | Rel=0.0000 | Res=0.0414 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4188
      [BASELINE | TEST2 | Layer 4 | Y2 | RF] Brier=0.1328 | Rel=0.0007 | Res=0.0453 | Unc=0.1774 | ECE=0.0186 | LogLoss=0.4106
      [BASELINE | TEST1 | Layer 5 | Y2 | SGD] Brier=0.1292 | Rel=0.0000 | Res=0.0479 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4006
      [BASELINE | TEST2 | Layer 5 | Y2 | SGD] Brier=0.1283 | Rel=0.0018 | Res=0.0508 | Unc=0.1774 | ECE=0.0261 | LogLoss=0.4316
      [BASELINE | TEST1 | Layer 5 | Y2 | MLP] Brier=0.1171 | Rel=0.0000 | Res=0.0600 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.3631
      [BASELINE | TEST2 | Layer 5 | Y2 | MLP] Brier=0.1136 | Rel=0.0008 | Res=0.0645 | Unc=0.1774 | ECE=0.0177 | LogLoss=0.4342
      [BASELINE | TEST1 | Layer 5 | Y2 | LGB] Brier=0.1243 | Rel=0.0000 | Res=0.0528 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.3835
      [BASELINE | TEST2 | Layer 5 | Y2 | LGB] Brier=0.1242 | Rel=0.0006 | Res=0.0538 | Unc=0.1774 | ECE=0.0186 | LogLoss=0.4182
      [BASELINE | TEST1 | Layer 5 | Y2 | LR] Brier=0.1304 | Rel=0.0000 | Res=0.0467 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4040
      [BASELINE | TEST2 | Layer 5 | Y2 | LR] Brier=0.1280 | Rel=0.0019 | Res=0.0513 | Unc=0.1774 | ECE=0.0227 | LogLoss=0.4310
      [BASELINE | TEST1 | Layer 5 | Y2 | RF] Brier=0.1333 | Rel=0.0000 | Res=0.0438 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4110
